Unnamed: 0,result,table,_time,_start,_stop,_measurement,dest_ip,protocol,source_ip,dns_rate,inter_arrival_time,label,request_rate,anomaly,reconstruction_error
26,_result,0,2025-06-04 00:58:24.949098+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,4,0.00297,1,336.7003367003367,1,0.4263516272201048
27,_result,0,2025-06-04 00:58:25.110352+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,5,0.161254,0,6.201396554504074,0,0.000830379804247714
28,_result,0,2025-06-04 00:58:25.113396+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,6,0.003044,1,328.515111695138,1,0.40893677219762853
29,_result,0,2025-06-04 00:58:51.083872+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,25.970476,0,0.038505262668269924,0,0.0013912640227475162
30,_result,0,2025-06-04 00:58:51.090005+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.006133,1,163.05233980107613,0,0.09630706727323096
31,_result,0,2025-06-04 00:58:53.667388+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.577383,0,0.3879904538828726,0,0.0006938976551322622
32,_result,0,2025-06-04 00:59:12.545017+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,18.877629,0,0.052972754152547444,0,0.0002395989808277714
33,_result,0,2025-06-04 00:59:24.335926+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,11.790909,0,0.08481110319823519,0,0.00038138458179111633
34,_result,0,2025-06-04 00:59:27.279710+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.943784,0,0.3396988365994244,0,0.0006876380929107149
35,_result,0,2025-06-04 00:59:27.285345+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.005635,1,177.4622892635315,1,0.11615248683727447
36,_result,0,2025-06-04 00:59:35.060323+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,7.774978,0,0.1286177272784566,0,0.0010219535899985777
37,_result,0,2025-06-04 00:59:35.063662+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.003339,1,299.4908655286014,1,0.34993310251259363
